
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 05월 19일~06월 17일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
밀양,288,05-19,      18.6,      25.9,      11.6,       3.6,      64.3,       7.6,,,    1009.4,    1010.8,       1.6
산청,289,05-19,      17.9,      24.9,      11.3,       3.2,      62.2,       7.8,,,     994.8,    1011.1,       1.7
거제,294,05-19,      18.2,      23.5,      13.1,       6.1,      65.2,       7.8,,,    1005.9,    1010.5,       1.9
남해,295,05-19,      18.4,      24.2,      13.3,       6.4,      63.5,       7.8,,,    1006.1,    1011.5,       1.6
강남,400,05-19,      19.3,      24.3,      14.6,       4.3,,,,,,,       1.8
서초,401,05-19,      19.2,      25.0,      14.1,       3.9,,,,,,,       1.4
강동,402,05-19,      18.7,      24.6,      13.3,       3.5,,,,,,,       1.6
송파,403,05-19,      19.4,      24.7,      14.5,       4.0,,,,,,,       1.9
강서,404,05-19,      18.2,      23.5,      13.7,       3.6,,,,,,,       1.9
양천,405,05-19,      19.2,      24.6,      14.5,       3.5,,,,,,,       1.6
도봉,406,05-19,      17.9,      24.2,      12.0,       4.6,,,,,,,       1.2
노원,407,05-19,      17.8,      24.5,      11.3,       4.3,,,,,,,       1.7
동대문,408,05-19,      19.1,      24.5,      14.2,       4.2,,,,,,,       2.0
중랑,409,05-19,      19.3,      24.5,      14.5,       4.0,,,,,,,       2.3
기상청,410,05-19,      18.6,      24.0,      13.9,       4.0,,,,,,,       1.7
마포,411,05-19,      18.8,      24.0,      14.4,       3.6,,,,,,,       2.3
서대문,412,05-19,      17.8,      24.1,      12.5,       3.6,,,,,,,       1.4
광진,413,05-19,      19.0,      24.5,      14.2,       3.5,,,,,,,       1.9
성북,414,05-19,      18.1,      23.4,      13.2,       4.3,,,,,,,       1.8
용산,415,05-19,      19.1,      24.5,      14.3,       3.6,,,,,,,       2.0
은평,416,05-19,      17.5,      23.5,      12.0,       3.6,,,,,,,       1.8
금천,417,05-19,      18.4,      23.4,      14.1,       4.2,,,,,,,       2.2
중구,419,05-19,      17.6,      23.3,      12.9,       3.5,,,,,,,       1.6
성동,421,05-19,      19.2,      24.2,      14.8,       4.2,,,,,,,       2.4
구로,423,05-19,      17.9,      23.7,      12.9,       4.1,,,,,,,       2.1
강북,424,05-19,      19.0,      24.5,      14.0,       4.6,,,,,,,       1.9
남현,425,05-19,      18.0,      23.8,      12.3,       4.2,,,,,,,       1.3
부천,433,05-19,      18.4,      23.5,      13.7,       4.4,,,,,,,       1.4
안양,434,05-19,      18.3,      23.2,      13.7,       4.7,,,,,,,       2.2
광명,437,05-19,      18.7,      23.8,      14.2,       4.7,,,,,,,       2.1
군포,438,05-19,      18.5,      23.7,      13.7,       4.8,,,,,,,       1.7
김포,441,05-19,      17.3,      22.6,      12.6,       4.3,,,,,,,       2.3
하남,444,05-19,      18.3,      24.8,      12.3,       3.5,,,,,,,       1.0
의왕,445,05-19,      16.9,      22.8,      11.3,       5.1,,,,,,,       1.1
포천,504,05-19,      17.4,      24.4,      11.1,       4.7,,,,,,,       1.6
가평조종,505,05-19,      16.3,      23.7,       9.2,       4.8,,,,,,,       1.2
영등포,510,05-19,      19.1,      24.3,      14.8,       3.8,,,,,,,       1.8
인천연수,512,05-19,      17.3,      22.6,      12.9,       3.1,,,,,,,       1.9
안성,516,05-19,      18.2,      24.5,      12.3,       3.0,,,,,,,       1.3
간성,517,05-19,      17.1,      22.2,      12.4,       5.2,,,,,,,       1.9
평창,526,05-19,      16.2,      23.4,       9.7,       3.9,,,,,,,       1.3
의정부,532,05-19,      17.3,      23.9,      11.3,       4.5,,,,,,,       1.2
횡성,536,05-19,      17.1,      24.8,      10.4,       4.8,,,,,,,       1.3
고양,540,05-19,      17.3,      24.3,      11.3,       3.8,,,,,,,       1.4
남양주,541,05-19,      17.2,      24.6,      10.3,       4.7,,,,,,,       1.3
안산,545,05-19,      16.6,      23.4,      10.8,       3.2,,,,,,,       1.8
경기광주,546,05-19,      17.1,      23.8,      11.2,       4.2,,,,,,,       1.7
여주,548,05-19,      17.6,      24.8,      11.5,       3.2,,,,,,,       1.5
용인,549,05-19,      17.0,      23.8,      11.1,       3.7,,,,,,,       1.5
오산,550,05-19,      17.5,      24.4,      11.9,       3.5,,,,,,,       1.4
평택,551,05-19,      18.4,      24.6,      13.0,       2.9,,,,,,,       1.9
화천,555,05-19,      16.8,      24.7,      10.2,       4.6,,,,,,,       1.2
양구,556,05-19,      16.4,      24.3,       9.9,       4.4,,,,,,,       1.3
시흥,565,05-19,      17.5,      23.0,      12.7,       3.3,,,,,,,       1.8
구리,569,05-19,      18.3,      24.5,      12.7,       4.4,,,,,,,       1.4
금곡,570,05-19,      16.7,      22.3,      12.0,       3.0,,,,,,,       1.6
화성,571,05-19,      17.2,      23.1,      12.1,       2.9,,,,,,,       1.5
성남,572,05-19,      18.6,      24.5,      12.9,       4.1,,,,,,,       1.3
과천,590,05-19,      17.8,      24.1,      12.0,       3.8,,,,,,,       2.0
진부령,595,05-19,      14.7,      20.6,       9.7,       5.1,,,,,,,       3.2
양주,598,05-19,      17.3,      24.1,      10.9,       4.4,,,,,,,       1.6
단양,601,05-19,      17.8,      25.1,      11.3,       3.2,,,,,,,       1.1
진천,602,05-19,      17.5,      24.5,      11.1,       3.4,,,,,,,       1.4
괴산,603,05-19,      17.2,      24.4,      10.3,       3.8,,,,,,,       1.3
옥천,604,05-19,      17.8,      24.9,      11.4,       3.1,,,,,,,       1.3
세종연서,611,05-19,      17.5,      24.6,      11.5,       2.8,,,,,,,       1.5
공주,612,05-19,      18.4,      25.2,      12.2,       2.7,,,,,,,       1.6
서천,614,05-19,      17.1,      22.8,      12.3,       2.7,,,,,,,       2.2
논산,615,05-19,      18.1,      24.9,      12.3,       2.7,,,,,,,       1.8
당진,616,05-19,      16.8,      22.9,      11.8,       3.2,,,,,,,       2.4
청양,618,05-19,      16.9,      24.0,      10.4,       2.8,,,,,,,       1.5
음성,619,05-19,      16.9,      24.6,       9.7,       3.2,,,,,,,       1.5
증평,623,05-19,      17.7,      25.0,      11.1,       2.8,,,,,,,       1.5
태안,627,05-19,      16.6,      22.0,      12.1,       2.8,,,,,,,       1.9
예산,628,05-19,      18.0,      24.5,      12.5,       2.2,,,,,,,       2.3
아산,634,05-19,      17.8,      24.1,      12.9,       2.5,,,,,,,       2.2
계룡,636,05-19,      17.0,      24.2,      10.3,       3.4,,,,,,,       1.2
오월드,642,05-19,      19.2,      25.6,      13.4,       3.0,,,,,,,       1.5
세천,643,05-19,      17.8,      24.7,      11.2,       2.8,,,,,,,       1.2
장동,648,05-19,      18.1,      24.8,      11.8,       2.5,,,,,,,       1.3
부평,649,05-19,      17.8,      24.8,      11.4,       3.5,,,,,,,       0.7
연천청산,652,05-19,      17.4,      24.4,      11.1,       4.2,,,,,,,       1.4
양양,670,05-19,      18.1,      23.2,      13.1,       5.4,,,,,,,       2.6
사북,674,05-19,      14.7,      20.9,       8.7,       4.5,,,,,,,       2.9
무안,699,05-19,      17.7,      23.6,      12.4,       3.8,,,,,,,       1.9
무주,701,05-19,      17.0,      24.5,       9.7,       3.0,,,,,,,       1.5
익산,702,05-19,      18.2,      24.5,      12.6,       2.6,,,,,,,       1.8
진안,703,05-19,      16.1,      23.3,       9.6,       2.8,,,,,,,       1.7
담양,706,05-19,      17.9,      24.9,      11.6,       4.1,,,,,,,       1.9
광산,708,05-19,      18.3,      25.2,      12.1,       3.7,,,,,,,       1.9
구례,709,05-19,      18.4,      25.9,      11.5,       3.5,,,,,,,       1.5
나주,710,05-19,      18.2,      25.3,      12.2,       4.1,,,,,,,       1.6
순천시,712,05-19,      19.1,      24.6,      14.1,       5.5,,,,,,,       1.9
광양읍,713,05-19,      18.8,      25.4,      12.9,       5.3,,,,,,,       1.4
조선대,722,05-19,      18.8,      24.9,      13.1,       3.3,,,,,,,       2.1
거문도,723,05-19,      17.5,      20.9,      15.0,       4.4,,,,,,,       3.2
추자도,724,05-19,      16.5,      19.6,      14.1,       3.9,,,,,,,       3.5
장성,730,05-19,      17.7,      24.9,      11.5,       3.7,,,,,,,       1.7
영암,731,05-19,      18.3,      24.4,      12.7,       4.0,,,,,,,       2.3
보성,732,05-19,      17.0,      23.3,      11.1,       6.6,,,,,,,       1.9
완주,734,05-19,      18.1,      25.4,      11.7,       3.3,,,,,,,       2.1
김제,737,05-19,      18.4,      24.5,      13.2,       2.6,,,,,,,       2.4
화순,741,05-19,      18.3,      25.4,      11.9,       3.3,,,,,,,       1.3
함평,754,05-19,      17.9,      24.1,      12.4,       3.6,,,,,,,       1.9
곡성,768,05-19,      18.3,      25.3,      11.6,       3.4,,,,,,,       1.5
성판악,782,05-19,      14.8,      19.0,      10.6,      19.6,,,,,,,       2.7
풍암,788,05-19,      18.9,      25.8,      12.6,       4.5,,,,,,,       1.3
압해도,789,05-19,      17.7,      22.6,      13.6,       2.8,,,,,,,       2.9
영양,801,05-19,      16.5,      23.9,       9.7,       2.9,,,,,,,       1.6
성주,810,05-19,      18.6,      25.9,      11.4,       3.0,,,,,,,       1.5
고령,812,05-19,      18.3,      25.8,      11.2,       3.2,,,,,,,       1.1
청도,813,05-19,      18.3,      25.9,      11.6,       3.3,,,,,,,       1.7
예천,815,05-19,      17.7,      25.4,      10.7,       3.1,,,,,,,       1.4
김천,822,05-19,      18.5,      26.2,      11.0,       2.4,,,,,,,       1.2
군위,823,05-19,      17.7,      25.7,      10.3,       3.1,,,,,,,       1.6
칠곡,825,05-19,      19.0,      26.3,      12.2,       2.9,,,,,,,       2.0
경산,827,05-19,      19.7,      26.7,      13.6,       3.0,,,,,,,       2.1
달성,828,05-19,      19.4,      26.7,      13.1,       3.0,,,,,,,       1.8
대구서구,846,05-19,      20.2,      26.6,      14.3,       2.5,,,,,,,       2.2
신암,860,05-19,      20.2,      26.4,      14.4,       2.3,      55.0,       7.9,       4.6,,    1003.2,    1010.1,       2.3
완산,864,05-19,      18.8,      25.4,      12.8,       2.4,      63.9,       7.3,       4.8,       4.6,    1003.9,    1010.3,       1.8
삼척,876,05-19,      18.3,      22.9,      13.8,       2.4,,,,,,,       2.2
울기,901,05-19,      16.8,      20.6,      14.3,       3.1,,,,,,,       2.7
삼천포,907,05-19,      18.3,      22.5,      14.8,       5.4,,,,,,,       1.9
영도,910,05-19,      17.1,      20.6,      14.3,       4.2,,,,,,,       3.5
고성,918,05-19,      18.3,      24.1,      13.1,       5.5,,,,,,,       2.1
창녕,919,05-19,      19.0,      26.7,      11.3,       3.2,,,,,,,       1.9
함안,920,05-19,      18.5,      26.6,      11.5,       4.0,,,,,,,       1.4
가덕도,921,05-19,      17.7,      21.9,      14.9,       4.1,,,,,,,       3.5
기장,923,05-19,      17.9,      23.2,      12.9,       4.6,,,,,,,       1.9
간절곶,924,05-19,      16.8,      20.1,      14.2,       3.7,,,,,,,       3.7
하동,932,05-19,      19.1,      25.5,      13.3,       6.2,,,,,,,       1.5
해운대,937,05-19,      18.2,      22.8,      14.3,       4.8,,,,,,,       2.3
부산진,938,05-19,      19.1,      23.9,      15.2,       5.0,,,,,,,       2.2
동래,940,05-19,      19.1,      24.3,      14.7,       4.4,,,,,,,       1.9
북구,941,05-19,      18.9,      24.0,      14.3,       4.6,,,,,,,       2.0
부산남구,942,05-19,      18.8,      23.0,      15.3,       4.8,,,,,,,       2.1
정자,949,05-19,      18.3,      23.5,      13.3,       3.0,,,,,,,       2.6
속초,90,05-20,      17.3,      22.2,      12.9,       3.3,      67.0,       7.5,,,    1006.7,    1008.8,       2.6
철원,95,05-20,      17.0,      23.4,      10.7,       3.4,      66.5,       7.4,,,     991.7,    1009.7,       2.0
동두천,98,05-20,      17.5,      24.5,      11.5,       3.6,      64.9,       7.1,,,     996.7,    1009.8,       1.7
파주,99,05-20,      16.8,      23.8,      10.9,       3.5,      72.1,       7.3,,,    1006.7,    1010.2,       1.6
대관령,100,05-20,      13.3,      19.7,       7.3,       3.6,      67.0,       8.3,,,     918.0,    1009.7,       4.0
춘천,101,05-20,      18.0,      24.9,      11.5,       3.4,      66.9,       7.3,,,    1001.0,    1009.9,       1.3
백령도,102,05-20,      15.1,      19.0,      11.7,       2.0,      69.9,       7.7,       5.3,,     993.7,    1009.4,       5.1
강릉,105,05-20,      19.2,      24.1,      14.4,       2.6,      56.6,       7.7,,,    1006.2,    1009.3,       2.6
동해,106,05-20,      17.3,      21.8,      13.3,       2.4,      65.9,       7.6,,,    1004.8,    1009.1,       2.4
서울,108,05-20,      18.7,      24.2,      13.8,       3.4,      60.8,       7.2,       4.8,       4.9,    1000.0,    1010.1,       2.4
인천,112,05-20,      17.2,      22.0,      13.4,       3.0,      70.9,       7.9,       4.9,       4.3,    1001.9,    1010.0,       2.8
원주,114,05-20,      18.3,      25.0,      12.0,       2.6,      61.9,       7.2,,,     992.6,    1010.0,       1.2
울릉도,115,05-20,      16.9,      20.7,      13.5,       2.9,      67.8,       8.4,       4.8,       5.5,     984.3,    1010.0,       4.1
수원,119,05-20,      18.1,      24.1,      12.7,       2.9,      67.1,       7.4,       4.9,       4.7,    1006.3,    1010.5,       1.8
영월,121,05-20,      17.2,      24.8,      10.3,       3.4,      66.0,       7.1,,,     982.1,    1009.9,       1.4
충주,127,05-20,      18.0,      25.2,      11.2,       3.1,      61.1,       7.7,,,     999.0,    1010.3,       1.7
서산,129,05-20,      17.1,      23.0,      12.0,       2.9,      72.3,       7.8,,,    1007.6,    1010.6,       2.8
울진,130,05-20,      17.1,      22.1,      12.7,       2.0,      69.2,       8.1,,,    1003.7,    1009.5,       3.0
청주,131,05-20,      19.3,      25.5,      13.5,       2.4,      58.5,       8.0,       4.8,       5.2,    1003.6,    1010.3,       1.9
대전,133,05-20,      19.1,      25.1,      13.3,       3.0,      63.0,       8.1,       4.6,       4.9,    1002.3,    1010.4,       2.0
추풍령,135,05-20,      17.7,      24.3,      11.0,       2.8,      61.8,       7.9,,,     982.0,    1010.3,       2.5
안동,136,05-20,      18.4,      25.5,      11.4,       3.3,      62.1,       8.0,       4.5,       5.5,     994.0,    1010.3,       1.6
상주,137,05-20,      18.9,      25.6,      12.5,       3.8,      60.5,       7.8,,,     998.9,    1010.3,       1.5
포항,138,05-20,      19.4,      24.5,      15.0,       2.6,      62.7,       8.1,       4.6,       5.7,    1010.0,    1010.5,       2.7
군산,140,05-20,      17.6,      22.9,      13.3,       2.2,      75.6,       7.4,,,    1007.5,    1010.7,       3.3
울산,152,05-20,      18.9,      24.7,      13.7,       3.2,      63.7,       7.6,       4.7,,    1005.5,    1010.4,       2.0
창원,155,05-20,      19.0,      24.4,      14.6,       4.6,      65.3,       7.6,       4.6,,    1007.8,    1010.4,       2.1
광주,156,05-20,      19.3,      25.5,      13.8,       2.7,      64.1,       7.8,       4.7,,    1002.2,    1010.7,       2.2
부산,159,05-20,      18.5,      22.6,      15.1,       4.6,      67.6,       7.9,       4.8,       4.4,    1002.4,    1010.5,       3.4
통영,162,05-20,      18.0,      22.6,      14.3,       5.0,      72.1,       7.5,,,    1007.3,    1011.0,       2.2
목포,165,05-20,      18.1,      23.1,      14.0,       2.8,      73.3,       7.7,       4.8,       4.6,    1006.1,    1011.0,       3.4
여수,168,05-20,      18.4,      22.3,      15.1,       4.9,      68.1,       7.9,       4.6,       5.3,    1002.9,    1010.8,       3.4
흑산도,169,05-20,      15.6,      19.6,      12.7,       2.4,      81.6,       6.7,       5.2,,    1001.4,    1010.6,       4.5
완도,170,05-20,      18.1,      23.1,      13.8,       5.1,      71.0,       7.5,,,    1007.3,    1010.8,       3.2
고창,172,05-20,      18.2,      24.9,      12.2,       1.4,      75.1,       8.1,,,    1006.0,    1012.1,       2.5
제주,184,05-20,      18.6,      22.5,      15.3,       3.5,      69.3,       7.1,       5.3,       4.7,    1008.5,    1011.1,       2.8
고산,185,05-20,      17.5,      21.0,      14.7,       5.4,      80.5,       6.9,,,    1002.2,    1010.7,       5.3
성산,188,05-20,      18.1,      22.4,      13.8,       6.7,      73.2,       7.1,,,    1009.0,    1011.2,       2.8
서귀포,189,05-20,      19.2,      22.8,      16.0,       8.4,      69.9,       6.9,       5.5,       4.4,    1004.8,    1010.7,       2.2
진주,192,05-20,      18.4,      25.4,      11.7,       4.3,      66.3,       7.6,,,    1007.5,    1010.5,       1.5
강화,201,05-20,      16.3,      21.7,      11.3,       3.3,      70.5,       7.5,,,    1005.1,    1010.6,       2.2
양평,202,05-20,      18.0,      25.2,      11.4,       3.0,      66.1,       7.6,,,    1005.2,    1010.8,       1.3
이천,203,05-20,      18.0,      25.1,      11.4,       2.8,      62.0,       7.6,,,    1001.3,    1010.2,       1.4
인제,211,05-20,      16.6,      24.0,       9.9,       3.5,      65.5,       7.2,,,     986.9,    1010.1,       1.9
홍천,212,05-20,      17.2,      25.1,      10.3,       3.4,      62.5,       7.5,,,     994.0,    1010.5,       1.3
태백,216,05-20,      15.3,      22.0,       8.9,       3.5,      59.0,       8.0,,,     928.7,    1009.2,       1.8
정선군,217,05-20,      16.8,      24.8,       9.7,       3.2,      61.0,       7.4,,,     976.3,    1011.8,       1.7
제천,221,05-20,      16.6,      24.2,       9.5,       3.5,      63.8,       7.9,,,     980.2,    1010.5,       1.6
보은,226,05-20,      17.2,      24.6,      10.2,       3.5,      63.4,       8.2,,,     989.9,    1010.1,       1.4
천안,232,05-20,      18.1,      24.7,      11.9,       2.3,      63.0,       8.0,,,    1006.5,    1010.4,       1.9
보령,235,05-20,      17.0,      22.3,      12.2,       2.2,      72.6,       8.0,,,    1008.7,    1010.9,       2.1
부여,236,05-20,      18.1,      25.2,      11.9,       2.6,      67.4,       8.0,,,    1009.3,    1010.8,       1.4
